iter	Passed	Remaining
407	5442	7897
408	5455	7883
409	5467	7868
410	5481	7855
411	5494	7841
412	5507	7828
413	5520	7814
414	5533	7800
415	5546	7787
416	5560	7773
417	5573	7760
418	5586	7745
419	5599	7731
420	5611	7717
421	5625	7704
422	5639	7692
423	5651	7677
424	5664	7663
425	5676	7649
426	5689	7635
427	5702	7621
428	5714	7606
429	5728	7593
430	5741	7579
431	5754	7566
432	5768	7553
433	5781	7539
434	5794	7526
435	5807	7512
436	5820	7498
437	5833	7484
438	5845	7470
439	5858	7456
440	5870	7441
441	5883	7427
442	5896	7413
443	5907	7397
444	5920	7384
445	5933	7370
446	5947	7358
447	5960	7344
448	5972	7329
449	5984	7314
450	5996	7299
451	6009	7285
452	6021	7271
453	6034	7257
454	6048	7244
455	6061	7231
456	6073	7216
457	6086	7203
458	6100	7190
459	6114	7177
460	6128	7165
461	6141	7151
462	6155	7139
463	6167	7124
464	6180	7111
465	6193	7096
466	6206	7083
467	6218	7069
468	6230	7053
469	6243	7040
470	6257	7027
471	6270	7014
472	6284	7002
473	6297	6987
474	6310	6975
475	6323	6960
476	6336	6947
477	6348	6932
478	6361	6919
479	6375	6906
480	6389	6893
481	6402	6880
482	6414	6866
483	6425	6849
484	6437	6835
485	6450	6822
486	6464	6809
487	6477	6795
488	6490	6782
489	6503	6768
490	6515	6754
491	6528	6740
492	6541	6727
493	6554	6713
494	6567	6700
495	6580	6687
496	6593	6673
497	6607	6660
498	6620	6647
499	6634	6634
500	6647	6620
501	6660	6606
502	6673	6593
503	6687	6581
504	6700	6567
505	6713	6554
506	6727	6541
507	6739	6527
508	6752	6513
509	6764	6499
510	6778	6486
511	6791	6473
512	6804	6459
513	6817	6446
514	6831	6433
515	6844	6419
516	6856	6405
517	6868	6391
518	6882	6378
519	6895	6365
520	6908	6351
521	6921	6337
522	6933	6323
523	6946	6310
524	6959	6296
525	6972	6283
526	6984	6269
527	6999	6256
528	7012	6243
529	7025	6230
530	7037	6215
531	7050	6202
532	7062	6187
533	7075	6174
534	7089	6161
535	7102	6148
536	7116	6135
537	7129	6122
538	7143	6109
539	7157	6096
540	7169	6082
541	7182	6069
542	7197	6057
543	7215	6048
544	7232	6038
545	7252	6030
546	7269	6019
547	7286	6010
548	7303	5999
549	7320	5989
550	7336	5978
551	7353	5967
552	7370	5957
553	7388	5948
554	7405	5937
555	7422	5927
556	7439	5916
557	7455	5905
558	7469	5893
559	7486	5882
560	7502	5870
561	7521	5862
562	7539	5851
563	7557	5842
564	7573	5830
565	7589	5819
566	7605	5808
567	7622	5797
568	7639	5786
569	7656	5776
570	7674	5765
571	7691	5755
572	7708	5744
573	7726	5734
574	7742	5722
575	7758	5711
576	7776	5700
577	7793	5689
578	7808	5677
579	7824	5666
580	7841	5655
581	7858	5644
582	7875	5632
583	7893	5622
584	7910	5611
585	7926	5599
586	7942	5588
587	7958	5576
588	7973	5563
589	7988	5551
590	8003	5538
591	8018	5526
592	8034	5514
593	8051	5503
594	8069	5492
595	8085	5480
596	8101	5468
597	8117	5456
598	8133	5445
599	8149	5432
600	8165	5420
601	8181	5408
602	8197	5397
603	8213	5385
604	8229	5372
605	8245	5360
606	8263	5349
607	8280	5338
608	8296	5326
609	8310	5313
610	8324	5299
611	8337	5286
612	8352	5272
613	8367	5260
614	8382	5247
615	8399	5235
616	8414	5223
617	8429	5210
618	8445	5198
619	8459	5185
620	8474	5172
621	8489	5159
622	8503	5145
623	8515	5131
624	8530	5118
625	8544	5104
626	8558	5091
627	8571	5077
628	8585	5063
629	8598	5049
630	8611	5035
631	8625	5022
632	8639	5008
633	8654	4996
634	8670	4983
635	8685	4970
636	8700	4957
637	8714	4944
638	8728	4931
639	8743	4918
640	8758	4905
641	8774	4892
642	8789	4879
643	8803	4866
644	8817	4853
645	8831	4839
646	8846	4826
647	8861	4813
648	8876	4800
649	8890	4787
650	8903	4773
651	8917	4759
652	8930	4745
653	8942	4731
654	8957	4717
655	8970	4704
656	8984	4690
657	8998	4677
658	9012	4663
659	9026	4649
660	9040	4636
661	9055	4623
662	9070	4610
663	9084	4597
664	9098	4583
665	9113	4570
666	9127	4556
667	9141	4543
668	9155	4529
669	9169	4516
670	9182	4502
671	9196	4488
672	9209	4474
673	9223	4461
674	9238	4447
675	9253	4435
676	9268	4421
677	9282	4408
678	9297	4395
679	9311	4381
680	9325	4368
681	9339	4354
682	9354	4341
683	9368	4328
684	9384	4315
685	9398	4301
686	9413	4288
687	9427	4275
688	9440	4261
689	9455	4247
690	9470	4234
691	9484	4221
692	9498	4207
693	9512	4194
694	9527	4181
695	9541	4167
696	9555	4153
697	9571	4141
698	9585	4127
699	9599	4114
700	9614	4100
701	9631	4088
702	9646	4075
703	9661	4062
704	9676	4049
705	9690	4035
706	9704	4021
707	9718	4008
708	9732	3994
709	9748	3981
710	9763	3968
711	9777	3954
712	9792	3941
713	9806	3928
714	9822	3915
715	9836	3901
716	9849	3887
717	9862	3873
718	9877	3860
719	9890	3846
720	9902	3832
721	9916	3818
722	9930	3804
723	9944	3791
724	9957	3777
725	9970	3763
726	9984	3749
727	9998	3735
728	10012	3721
729	10026	3708
730	10040	3694
731	10054	3681
732	10068	3667
733	10083	3654
734	10097	3640
735	10111	3626
736	10125	3613
737	10137	3598
738	10152	3585
739	10166	3571
740	10179	3558
741	10193	3544
742	10207	3530
743	10221	3517
744	10236	3503
745	10251	3490
746	10265	3476
747	10279	3463
748	10292	3449
749	10306	3435
750	10320	3421
751	10334	3408
752	10348	3394
753	10361	3380
754	10375	3366
755	10389	3353
756	10403	3339
757	10419	3326
758	10433	3312
759	10448	3299
760	10463	3286
761	10476	3272
762	10491	3258
763	10505	3245
764	10519	3231
765	10533	3217
766	10546	3203
767	10560	3190
768	10574	3176
769	10588	3162
770	10601	3148
771	10614	3134
772	10628	3121
773	10642	3107
774	10656	3093
775	10671	3080
776	10684	3066
777	10697	3052
778	10711	3038
779	10723	3024
780	10738	3011
781	10751	2997
782	10764	2983
783	10778	2969
784	10792	2955
785	10805	2941
786	10817	2927
787	10830	2913
788	10844	2900
789	10857	2886
790	10871	2872
791	10885	2858
792	10898	2844
793	10912	2831
794	10925	2817
795	10939	2803
796	10953	2789
797	10966	2776
798	10979	2761
799	10991	2747
800	11005	2734
801	11020	2720
802	11034	2707
803	11048	2693
804	11063	2679
805	11075	2665
806	11090	2652
807	11104	2638
808	11118	2624
809	11131	2611
810	11145	2597
811	11159	2583
812	11172	2569
813	11187	2556
814	11201	2542
815	11214	2528
816	11228	2515
817	11242	2501
818	11255	2487
819	11270	2473
820	11284	2460
821	11299	2446
822	11312	2432
823	11326	2419
824	11339	2405
825	11353	2391
826	11367	2377
827	11380	2364
828	11394	2350
829	11409	2336
830	11423	2323
831	11437	2309
832	11450	2295
833	11464	2281
834	11478	2268
835	11493	2254
836	11507	2241
837	11521	2227
838	11534	2213
839	11547	2199
840	11562	2185
841	11577	2172
842	11592	2158
843	11606	2145
844	11620	2131
845	11633	2117
846	11646	2103
847	11658	2089
848	11672	2076
849	11685	2062
850	11699	2048
851	11712	2034
852	11726	2020
853	11738	2006
854	11752	1993
855	11766	1979
856	11780	1965
857	11796	1952
858	11812	1939
859	11826	1925
860	11840	1911
861	11854	1897
862	11868	1884
863	11880	1870
864	11894	1856
865	11908	1842
866	11921	1828
867	11935	1815
868	11949	1801
869	11962	1787
870	11977	1773
871	11992	1760
872	12007	1746
873	12023	1733
874	12036	1719
875	12050	1705
876	12065	1692
877	12078	1678
878	12092	1664
879	12105	1650
880	12118	1636
881	12131	1623
882	12145	1609
883	12158	1595
884	12172	1581
885	12186	1568
886	12201	1554
887	12215	1540
888	12230	1527
889	12243	1513
890	12257	1499
891	12270	1485
892	12283	1471
893	12297	1458
894	12310	1444
895	12324	1430
896	12338	1416
897	12352	1403
898	12364	1389
899	12379	1375
900	12394	1361
901	12409	1348
902	12424	1334
903	12438	1320
904	12453	1307
905	12466	1293
906	12480	1279
907	12494	1265
908	12507	1252
909	12520	1238
910	12534	1224
911	12547	1210
912	12561	1196
913	12574	1183
914	12587	1169
915	12601	1155
916	12614	1141
917	12626	1127
918	12640	1114
919	12654	1100
920	12667	1086
921	12682	1072
922	12695	1059
923	12707	1045
924	12721	1031
925	12734	1017
926	12746	1003
927	12759	989
928	12774	976
929	12789	962
930	12806	949
931	12820	935
932	12834	921
933	12847	907
934	12861	894
935	12873	880
936	12886	866
937	12899	852
938	12913	838
939	12926	825
940	12939	811
941	12953	797
942	12968	783
943	12983	770
944	12996	756
945	13010	742
946	13024	728
947	13037	715
948	13051	701
949	13065	687
950	13080	673
951	13094	660
952	13109	646
953	13124	632
954	13138	619
955	13151	605
956	13165	591
957	13178	577
958	13191	563
959	13203	550
960	13216	536
961	13229	522
962	13242	508
963	13256	495
964	13270	481
965	13281	467
966	13295	453
967	13308	439
968	13322	426
969	13336	412
970	13349	398
971	13364	384
972	13381	371
973	13396	357
974	13410	343
975	13424	330
976	13437	316
977	13450	302
978	13464	288
979	13478	275
980	13492	261
981	13506	247
982	13518	233
983	13532	220
984	13545	206
985	13559	192
986	13573	178
987	13587	165
988	13601	151
989	13614	137
990	13627	123
991	13641	110
992	13655	96
993	13671	82
994	13686	68
995	13702	55
996	13717	41
997	13730	27
998	13744	13
999	13757	0
